1,FK,KD_JENIS_TRANSAKSI,FG_PENGGANTI,NOMOR_FAKTUR,MASA_PAJAK,TAHUN_PAJAK,TANGGAL_FAKTUR,NPWP,NAMA,ALAMAT_LENGKAP,JUMLAH_DPP,JUMLAH_PPN,JUMLAH_PPNBM,ID_KETERANGAN_TAMBAHAN,FG_UANG_MUKA,UANG_MUKA_DPP,UANG_MUKA_PPN,UANG_MUKA_PPNBM,REFERENSI
2,LT,NPWP,NAMA,JALAN,BLOK,NOMOR,RT,RW,KECAMATAN,KELURAHAN,KABUPATEN,PROPINSI,KODE_POS,NOMOR_TELEPON,,,,,
3,OF,KODE_OBJEK,NAMA,HARGA_SATUAN,JUMLAH_BARANG,HARGA_TOTAL,DISKON,DPP,PPN,TARIF_PPNBM,PPNBM,,,,,,,,
410092015240302638,FK,01,0,,03,2024,26/03/2024,[NPWPNO],[NPWPNAME],[NPWPADDR],16051001,1605106,0,,0,0,0,0,10092015240302638
410092015240302638100922403024943971,OF,8996001355985,BENG BENG SHARE285,31909,3,95727,11455,84273,8427,0,0,,,,,,,,
410092015240302638100922403024943972,OF,8936036025729,DELFI ORION 12X30,35091,3,105273,0,105273,10527,0,0,,,,,,,,
410092015240302638100922403024943973,OF,2497010197659,DATECROWNLULU500GR,48091,3,144273,0,144273,14427,0,0,,,,,,,,
410092015240302638100922403024943974,OF,9556378717312,BIKA MIX MEXICAN S,24364,3,73091,0,73091,7309,0,0,,,,,,,,
410092015240302638100922403024943975,OF,4800361291446,NESTLE MILO B C300,50000,3,150000,17727,132273,13227,0,0,,,,,,,,
410092015240302638100922403024943976,OF,8992696427990,MILO ACT POUCH790,80455,3,241364,0,241364,24136,0,0,,,,,,,,
410092015240302638100922403024943977,OF,8992753004010,FF S PLAIN PCH545,20455,3,61364,11264,50100,5010,0,0,,,,,,,,
410092015240302638100922403024943978,OF,749921005908,NTRSR JRKMNSBX250G,25000,3,75000,0,75000,7500,0,0,,,,,,,,
410092015240302638100922403024943979,OF,8888166993013,MD SR EGROL ORI168,27727,3,83182,0,83182,8318,0,0,,,,,,,,
410092015240302638100922403024943980,OF,8993523101175,KF MACK TMT 425GR,31364,3,94091,0,94091,9409,0,0,,,,,,,,
410092015240302638100922403024943981,OF,749921001016,TS SWTNR CLAS 50S,70545,3,211636,0,211636,21164,0,0,,,,,,,,
410092015240302638100922403024943982,OF,8886001012295,ROYAL CBC TI480,71364,3,214091,34091,180000,18000,0,0,,,,,,,,
410092015240302638100922403024943983,OF,8888166605978,KG WAFER CHOC600GR,57273,3,171818,0,171818,17182,0,0,,,,,,,,
410092015240302638100922403024943984,OF,8997002056673,CKS PEANUT CCLT280,40364,3,121091,0,121091,12109,0,0,,,,,,,,
410092015240302638100922403024943985,OF,8991002102118,EXCELSO ROB BJ 200,38909,3,116727,0,116727,11673,0,0,,,,,,,,
410092015240302638100922403024943986,OF,8992786300097,PONDAN CHOCO 200G,30182,3,90545,0,90545,9055,0,0,,,,,,,,
410092015240302638100922403024943987,OF,8999999195656,*SARIWANGI TB24,12455,3,37364,0,37364,3736,0,0,,,,,,,,
410092015240302638100922403024943988,OF,8995125900019,KURNIA RASPBERRY,24455,3,73364,0,73364,7336,0,0,,,,,,,,
410092015240302638100922403024943989,OF,8996001600382,TEH PCUK HRM1300,12273,3,36818,-12272,24546,2455,0,0,,,,,,,,
410092015240302638100922403024943990,OF,2482005117880,LS WAGON 50L GREEN,153636,3,460909,24818,436091,43609,0,0,,,,,,,,
410092015240302638100922403024943991,OF,8992775315057,GERY SL MALK C 110,8000,3,24000,0,24000,2400,0,0,,,,,,,,
410092015240302638100922403024943992,OF,8991001780218,SELAMAT BR VAN95,15273,3,45818,0,45818,4582,0,0,,,,,,,,
410092015240302638100922403024943993,OF,8888166842885,MD GENJIPIE 85GR,15000,3,45000,0,45000,4500,0,0,,,,,,,,
410092015240302638100922403024943994,OF,8998866610377,ISOPLUS350,2727,3,8182,-273,7909,791,0,0,,,,,,,,
410092015240302638100922403024943995,OF,8997002059841,NARABALL STRAWBERY,37000,1,37000,0,37000,3700,0,0,,,,,,,,
